address/city,address/state,address/streetAddress,address/subdivision,address/zipcode,bathrooms,bedrooms,livingArea,price,url,yearBuilt
Pittsburgh,PA,3413 Webster Ave,,15219,1.0,3.0,,95000,https://www.zillow.com/homedetails/3413-Webster-Ave-Pittsburgh-PA-15219/11403152_zpid/,1930.0
Pittsburgh,PA,521 Southern Ave,,15211,0.0,2.0,1562.0,0,https://www.zillow.com/homedetails/521-Southern-Ave-Pittsburgh-PA-15211/11323248_zpid/,1926.0
Pittsburgh,PA,2806 Cobden St,,15203,0.0,0.0,,29900,https://www.zillow.com/homedetails/2806-Cobden-St-Pittsburgh-PA-15203/11308148_zpid/,
Pittsburgh,PA,115 Erin St,,15219,2.0,3.0,1459.0,300000,https://www.zillow.com/homedetails/115-Erin-St-Pittsburgh-PA-15219/11261105_zpid/,1998.0
Pittsburgh,PA,9561 Harding Rd,,15237,2.0,3.0,1223.0,289000,https://www.zillow.com/homedetails/9561-Harding-Rd-Pittsburgh-PA-15237/11643536_zpid/,1910.0
Pittsburgh,PA,409 N Craig St,,15213,0.0,4.0,2768.0,139000,https://www.zillow.com/homedetails/409-N-Craig-St-Pittsburgh-PA-15213/11403613_zpid/,2020.0
Pittsburgh,PA,820 Clarissa St,,15219,2.0,3.0,,60000,https://www.zillow.com/homedetails/820-Clarissa-St-Pittsburgh-PA-15219/11407254_zpid/,1920.0
Pittsburgh,PA,613 Torwood Ln,Hunters Preserve,15236,3.0,4.0,3040.0,778091,https://www.zillow.com/homedetails/613-Torwood-Ln-Pittsburgh-PA-15236/2068426950_zpid/,
Pittsburgh,PA,72 S 14 S,,15203,0.0,,,348500,https://www.zillow.com/homedetails/72-S-14-S-Pittsburgh-PA-15203/2077110176_zpid/,1900.0
Pittsburgh,PA,1316 Juniata St,,15233,1.0,3.0,1496.0,75000,https://www.zillow.com/homedetails/1316-Juniata-St-Pittsburgh-PA-15233/11376028_zpid/,1910.0
Pittsburgh,PA,174 45th St,,15201,0.0,,,325000,https://www.zillow.com/homedetails/174-45th-St-Pittsburgh-PA-15201/11613486_zpid/,1890.0
Pittsburgh,PA,68 Barry St,,15203,3.0,2.0,1100.0,220000,https://www.zillow.com/homedetails/68-Barry-St-Pittsburgh-PA-15203/164559536_zpid/,1859.0
Pittsburgh,PA,1011 Freyburg St,,15203,2.0,3.0,1530.0,269000,https://www.zillow.com/homedetails/1011-Freyburg-St-Pittsburgh-PA-15203/11474480_zpid/,1900.0
Pittsburgh,PA,1318 Juniata St,,15233,1.0,4.0,2664.0,75000,https://www.zillow.com/homedetails/1318-Juniata-St-Pittsburgh-PA-15233/11376029_zpid/,1910.0
Pittsburgh,PA,1204 Arch St #1206,,15212,0.0,,,875000,https://www.zillow.com/homedetails/1204-Arch-St-1206-Pittsburgh-PA-15212/2068793829_zpid/,1910.0
Pittsburgh,PA,128 N Craig St APT 914,,15213,2.0,2.0,,205000,https://www.zillow.com/homedetails/128-N-Craig-St-APT-914-Pittsburgh-PA-15213/11528932_zpid/,1957.0
Pittsburgh,PA,64 S 22nd St,,15203,3.0,3.0,2700.0,399900,https://www.zillow.com/homedetails/64-S-22nd-St-Pittsburgh-PA-15203/11290781_zpid/,1900.0
Pittsburgh,PA,1314 Juniata St,,15233,1.0,4.0,1880.0,75000,https://www.zillow.com/homedetails/1314-Juniata-St-Pittsburgh-PA-15233/11376027_zpid/,1910.0
Pittsburgh,PA,223 Suncrest St,,15210,2.0,4.0,1348.0,114000,https://www.zillow.com/homedetails/223-Suncrest-St-Pittsburgh-PA-15210/11436490_zpid/,1924.0
Pittsburgh,PA,3928 Mintwood St,,15224,3.0,2.0,1100.0,349900,https://www.zillow.com/homedetails/3928-Mintwood-St-Pittsburgh-PA-15224/11514593_zpid/,1900.0
Pittsburgh,PA,1402 Berry St,,15204,2.0,3.0,,165000,https://www.zillow.com/homedetails/1402-Berry-St-Pittsburgh-PA-15204/11479396_zpid/,1985.0
Pittsburgh,PA,1316 Wellington Dr,,15241,6.0,6.0,4683.0,849000,https://www.zillow.com/homedetails/1316-Wellington-Dr-Pittsburgh-PA-15241/11434252_zpid/,1996.0
Pittsburgh,PA,4410-4412 Penn Ave,,15224,0.0,,,1100000,https://www.zillow.com/homedetails/4410-4412-Penn-Ave-Pittsburgh-PA-15224/2070009100_zpid/,1920.0
Pittsburgh,PA,2021 Blairmont Dr,,15241,0.0,5.0,,1300000,https://www.zillow.com/homedetails/2021-Blairmont-Dr-Pittsburgh-PA-15241/164387173_zpid/,2020.0
Pittsburgh,PA,302 Fox Chapel Rd APT 315,,15238,3.0,3.0,2430.0,599000,https://www.zillow.com/homedetails/302-Fox-Chapel-Rd-APT-315-Pittsburgh-PA-15238/11374822_zpid/,1978.0
Pittsburgh,PA,1241 N Franklin St,,15233,0.0,3.0,,200000,https://www.zillow.com/homedetails/1241-N-Franklin-St-Pittsburgh-PA-15233/11376048_zpid/,
Pittsburgh,PA,584 Harrogate Rd,,15241,4.0,4.0,2040.0,489900,https://www.zillow.com/homedetails/584-Harrogate-Rd-Pittsburgh-PA-15241/11398894_zpid/,1974.0
Pittsburgh,PA,703 Speck St,,15212,1.0,2.0,930.0,150000,https://www.zillow.com/homedetails/703-Speck-St-Pittsburgh-PA-15212/11269508_zpid/,1920.0
Pittsburgh,PA,401 Mount Royal Blvd,,15223,2.0,4.0,1632.0,329000,https://www.zillow.com/homedetails/401-Mount-Royal-Blvd-Pittsburgh-PA-15223/11372317_zpid/,1932.0
Pittsburgh,PA,307 Plymouth St,,15211,0.0,4.0,,25000,https://www.zillow.com/homedetails/307-Plymouth-St-Pittsburgh-PA-15211/2105554342_zpid/,
Pittsburgh,PA,100 Brethauer Ave,,15214,3.0,5.0,2768.0,349900,https://www.zillow.com/homedetails/100-Brethauer-Ave-Pittsburgh-PA-15214/11370508_zpid/,1900.0
Pittsburgh,PA,1145 Beechwood Blvd,,15206,9.0,9.0,14302.0,4400000,https://www.zillow.com/homedetails/1145-Beechwood-Blvd-Pittsburgh-PA-15206/11629298_zpid/,1905.0
Pittsburgh,PA,320 Fort Duquesne Blvd APT 11J,,15222,1.0,2.0,,345000,https://www.zillow.com/homedetails/320-Fort-Duquesne-Blvd-APT-11J-Pittsburgh-PA-15222/164203778_zpid/,1966.0
Pittsburgh,PA,4942 2nd Ave,,15207,0.0,,,300000,https://www.zillow.com/homedetails/4942-2nd-Ave-Pittsburgh-PA-15207/11550368_zpid/,1896.0
Pittsburgh,PA,2207 Margaret St,,15235,1.0,2.0,1027.0,49000,https://www.zillow.com/homedetails/2207-Margaret-St-Pittsburgh-PA-15235/11567781_zpid/,1923.0
Pittsburgh,PA,2912 Merwyn Ave,,15204,2.0,3.0,1658.0,34900,https://www.zillow.com/homedetails/2912-Merwyn-Ave-Pittsburgh-PA-15204/11483220_zpid/,1894.0
Mt Washington,PA,429 Kathleen St,,15211,0.0,0.0,,25000,https://www.zillow.com/homedetails/429-Kathleen-St-Mt-Washington-PA-15211/2129485048_zpid/,2019.0
Pittsburgh,PA,341 Whittier Dr,,15235,1.0,3.0,1200.0,74900,https://www.zillow.com/homedetails/341-Whittier-Dr-Pittsburgh-PA-15235/11493512_zpid/,1950.0
Pittsburgh,PA,1 Trimont Ln APT 102P,,15211,1.0,2.0,733.0,225000,https://www.zillow.com/homedetails/1-Trimont-Ln-APT-102P-Pittsburgh-PA-15211/164456331_zpid/,1983.0
Pittsburgh,PA,1405 Evanston St,,15204,2.0,3.0,1120.0,132500,https://www.zillow.com/homedetails/1405-Evanston-St-Pittsburgh-PA-15204/11592800_zpid/,1870.0
Pittsburgh,PA,303 Plymouth St,,15211,0.0,,,25000,https://www.zillow.com/homedetails/303-Plymouth-St-Pittsburgh-PA-15211/164456590_zpid/,
Blawnox,PA,611 Freeport Rd,,15238,1.0,3.0,1999.0,149900,https://www.zillow.com/homedetails/611-Freeport-Rd-Blawnox-PA-15238/11414527_zpid/,1902.0
Pittsburgh,PA,350 Oliver Ave #1010,,15222,2.0,2.0,1156.0,750000,https://www.zillow.com/homedetails/350-Oliver-Ave-1010-Pittsburgh-PA-15222/333136358_zpid/,2020.0
Pittsburgh,PA,111 Grandview Ave APT 301,,15211,2.0,2.0,2130.0,574900,https://www.zillow.com/homedetails/111-Grandview-Ave-APT-301-Pittsburgh-PA-15211/11515518_zpid/,1980.0
Pittsburgh,PA,25 S Fremont Ave,,15202,2.0,4.0,2214.0,189900,https://www.zillow.com/homedetails/25-S-Fremont-Ave-Pittsburgh-PA-15202/11326390_zpid/,1910.0
Mount Washington,PA,436 Ruxton St,,15211,0.0,,,23500,https://www.zillow.com/homedetails/436-Ruxton-St-Mount-Washington-PA-15211/2129446589_zpid/,
Pittsburgh,PA,5257 Wickliff St,,15201,0.0,0.0,,208000,https://www.zillow.com/homedetails/5257-Wickliff-St-Pittsburgh-PA-15201/11612926_zpid/,
Pittsburgh,PA,301 5th Ave APT 619,,15222,2.0,2.0,1231.0,450000,https://www.zillow.com/homedetails/301-5th-Ave-APT-619-Pittsburgh-PA-15222/2074051125_zpid/,2008.0
Pittsburgh,PA,1907 Chislett St,,15206,2.0,3.0,1603.0,299000,https://www.zillow.com/homedetails/1907-Chislett-St-Pittsburgh-PA-15206/11277991_zpid/,1920.0
Pittsburgh,PA,3725 Butler St #410,,15201,2.0,2.0,1193.0,540400,https://www.zillow.com/homedetails/3725-Butler-St-410-Pittsburgh-PA-15201/2070192436_zpid/,2021.0
Pittsburgh,PA,5259 Wickliff St,,15201,0.0,4.0,,140000,https://www.zillow.com/homedetails/5259-Wickliff-St-Pittsburgh-PA-15201/11615357_zpid/,
Pittsburgh,PA,1221 W North Ave,,15233,2.0,2.0,,64900,https://www.zillow.com/homedetails/1221-W-North-Ave-Pittsburgh-PA-15233/11611696_zpid/,1905.0
